slug,name,discord,twitter,telegram,github,docs
1inch,1inch,,,,,
1inch-card,1inch Card,,,,,
aave,Aave,,,,,
abracadabra,Abracadabra,,,,,
across-protocol,Across Protocol,,,,,
aerodrome,Aerodrome,,,,,
alchemix,Alchemix,,,,,
alpaca-finance,Alpaca Finance,,,,,
amina-bank,AMINA Bank,,,,,
anchorage-digital,Anchorage Digital,,,,,
ankr-staking,Ankr Staking,,,,,
arculus-card,Arculus Card,,,,,
argent-wallet,Argent Wallet,,,,,
argent-x,Argent X,,,,,
arkham,Arkham,,,,,
astroport,Astroport,,,,,
atomic-wallet,Atomic Wallet,,,,,
aura-finance,Aura Finance,,,,,
autofarm,Autofarm,,,,,
axelar,Axelar,,,,,
baanx-cryptolife,Baanx CryptoLife,,,,,
backpack-wallet,Backpack Wallet,,,,,
balancer,Balancer,,,,,
ballet-real-bitcoin,Ballet REAL Bitcoin,,,,,
bc-vault,BC Vault,,,,,
bedrock,Bedrock,,,,,
beefy-finance,Beefy Finance,,,,,
benqi,Benqi,,,,,
biconomy,Biconomy,,,,,
billfodl,Billfodl,,,,,
binance,Binance,,,,,
binance-card,Binance Card,,,,,
biswap,Biswap,,,,,
bitbox02,BitBox02,,,,,
bitcoin-core,Bitcoin Core,,,,,
bitfinex,Bitfinex,,,,,
bitgo,BitGo,,,,,
bithumb,Bithumb,,,,,
bitpanda,Bitpanda,,,,,
bitpay-card,BitPay Card,,,,,
bitplates-domino,BitPlates Domino,,,,,
bitstamp,Bitstamp,,,,,
bleap-card,Bleap Card,,,,,
blockbar,BlockBar,,,,,
blockfi-card,BlockFi Card,,,,,
blockplate,Blockplate,,,,,
blockplate-24,Blockplate 24,,,,,
blockstream-green,Blockstream Green,,,,,
bluewallet,BlueWallet,,,,,
bolero-music,Bolero Music,,,,,
braavos-wallet,Braavos Wallet,,,,,
breez-wallet,Breez Wallet,,,,,
bybit,Bybit,,,,,
camelot-dex,Camelot DEX,,,,,
candide,Candide,,,,,
carbon-wallet,Carbon Wallet,,,,,
casa,Casa,,,,,
celer-cbridge,Celer cBridge,,,,,
cobo-custody,Cobo Custody,,,,,
cobo-vault-pro,Cobo Vault Pro,,,,,
coca-card,COCA Card,,,,,
coin98-wallet,Coin98 Wallet,,,,,
coinbase-card,Coinbase Card,,,,,
coinbase-cbeth,Coinbase cbETH,,,,,
coinbase-exchange,Coinbase Exchange,,,,,
coinbase-pro,Coinbase Pro,,,,,
coingecko,CoinGecko,,,,,
coinkite-satscard,Coinkite SATSCARD,,,,,
coinkite-tapsigner,Coinkite TAPSIGNER,,,,,
coinmarketcap,CoinMarketCap,,,,,
coinomi,Coinomi,,,,,
coinplate-alpha,Coinplate Alpha,,,,,
coldbit-steel,Coldbit Steel,,,,,
coldcard-mk4,Coldcard Mk4,,,,,
coldcard-q,Coldcard Q,,,,,
coldti,COLDTI,,,,,
compound,Compound,,,,,
connext,Connext,,,,,
convex-finance,Convex Finance,,,,,
coolwallet-pro,CoolWallet Pro,,,,,
coolwallet-s,CoolWallet S,,,,,
copper,Copper,,,,,
copper-clearloop,Copper ClearLoop,,,,,
crypto-com-app,Crypto.com App,,,,,
crypto-com-card,Crypto.com Card,,,,,
crypto-com-exchange,Crypto.com Exchange,,,,,
cryptopay-card,Cryptopay Card,,,,,
cryptosteel-capsule,Cryptosteel Capsule,,,,,
cryptosteel-cassette,Cryptosteel Cassette,,,,,
cryptotag-thor,CryptoTag Thor,,,,,
cryptotag-zeus,CryptoTag Zeus,,,,,
curve-finance,Curve Finance,,,,,
cypherock-x1,Cypherock X1,,,,,
d-cent-wallet,D'CENT Wallet,,,,,
debank,DeBank,,,,,
deblock,Deblock,,,,,
deblock-card,Deblock Card,,,,,
debridge,deBridge,,,,,
defi-saver,DeFi Saver,,,,,
defillama,DeFiLlama,,,,,
dfns,Dfns,,,,,
dodo,DODO,,,,,
dopex,Dopex,,,,,
dune-analytics,Dune Analytics,,,,,
dydx,dYdX,,,,,
edge-wallet,Edge Wallet,,,,,
eigenlayer,EigenLayer,,,,,
electrum,Electrum,,,,,
ellipal-mnemonic-metal,Ellipal Mnemonic Metal,,,,,
ellipal-titan,Ellipal Titan,,,,,
ellipal-titan-2-0,Ellipal Titan 2.0,,,,,
enjin-wallet,Enjin Wallet,,,,,
ether-fi,Ether.fi,,,,,
etoro,eToro,,,,,
etoro-card,eToro Card,,,,,
euler-finance,Euler Finance,,,,,
exodus,Exodus,,,,,
fireblocks,Fireblocks,,,,,
fold-card,Fold Card,,,,,
fordefi,Fordefi,,,,,
foundation-passport,Foundation Passport,,,,,
frame-wallet,Frame Wallet,,,,,
frax-ether,Frax Ether,,,,,
fraxlend,Fraxlend,,,,,
ftx,FTX,,,,,
gains-network,Gains Network,,,,,
gate-io,Gate.io,,,,,
gemini,Gemini,,,,,
gemini-card,Gemini Card,,,,,
glacier-protocol,Glacier Protocol,,,,,
gmx,GMX,,,,,
gnosis-pay,Gnosis Pay,,,,,
gomining,GoMining,,,,,
gridplus-lattice1,GridPlus Lattice1,,,,,
guarda-wallet,Guarda Wallet,,,,,
harvest-finance,Harvest Finance,,,,,
hashwallet,HashWallet,,,,,
hegic,Hegic,,,,,
hermit-unchained,Hermit (Unchained),,,,,
hex-trust,Hex Trust,,,,,
hodlr-swiss,Hodlr Swiss,,,,,
holyheld,Holyheld,,,,,
hop-protocol,Hop Protocol,,,,,
htx-huobi,HTX (Huobi),,,,,
imtoken,imToken,,,,,
instadapp,Instadapp,,,,,
jade,Jade,,,,,
jito,Jito,,,,,
jupiter,Jupiter,,,,,
keepkey,KeepKey,,,,,
kelp-dao,Kelp DAO,,,,,
keplr-wallet,Keplr Wallet,,,,,
keystone-3-pro,Keystone 3 Pro,,,,,
keystone-essential,Keystone Essential,,,,,
keystone-nexus,Keystone Nexus,,,,,
keystone-pro,Keystone Pro,,,,,
keystone-tablet,Keystone Tablet,,,,,
keystone-tablet-plus,Keystone Tablet Plus,,,,,
kraken,Kraken,,,,,
krux,Krux,,,,,
kucoin,KuCoin,,,,,
kwenta,Kwenta,,,,,
kyberswap,KyberSwap,,,,,
layerzero,LayerZero,,,,,
ledger-enterprise,Ledger Enterprise,,,,,
ledger-flex,Ledger Flex,,,,,
ledger-live,Ledger Live,,,,,
ledger-nano-s,Ledger Nano S,,,,,
ledger-nano-s-plus,Ledger Nano S Plus,,,,,
ledger-nano-x,Ledger Nano X,,,,,
ledger-recover,Ledger Recover,,,,,
ledger-stax,Ledger Stax,,,,,
li-fi,Li.Fi,,,,,
liana-wallet,Liana Wallet,,,,,
lido,Lido,,,,,
liminal,Liminal,,,,,
liminal-custody,Liminal Custody,,,,,
llamapay,LlamaPay,,,,,
lyra-finance,Lyra Finance,,,,,
makerdao,MakerDAO,,,,,
marinade-finance,Marinade Finance,,,,,
martian-wallet,Martian Wallet,,,,,
material-bitcoin,Material Bitcoin,,,,,
math-wallet,Math Wallet,,,,,
mercuryo-card,Mercuryo Card,,,,,
meria,Meria,,,,,
messari,Messari,,,,,
metamask,MetaMask,,,,,
metamask-card,MetaMask Card,,,,,
mexc,MEXC,,,,,
morpho,Morpho,,,,,
multichain,Multichain,,,,,
muun-wallet,Muun Wallet,,,,,
n26,N26,,,,,
nansen,Nansen,,,,,
nexo,Nexo,,,,,
nexo-card,Nexo Card,,,,,
ngrave-graphene,NGRAVE GRAPHENE,,,,,
ngrave-zero,NGRAVE ZERO,,,,,
notional-finance,Notional Finance,,,,,
nunchuk,Nunchuk,,,,,
obvious-wallet,Obvious Wallet,,,,,
okx,OKX,,,,,
okx-wallet,OKX Wallet,,,,,
olympus-dao,Olympus DAO,,,,,
ondo-finance,Ondo Finance,,,,,
onekey-classic,OneKey Classic,,,,,
onekey-pro,OneKey Pro,,,,,
opendime,Opendime,,,,,
orbiter-finance,Orbiter Finance,,,,,
orca,Orca,,,,,
osmosis,Osmosis,,,,,
pancakeswap,PancakeSwap,,,,,
paraswap,ParaSwap,,,,,
paycent-card,Paycent Card,,,,,
pendle,Pendle,,,,,
petra-wallet,Petra Wallet,,,,,
phantom-wallet,Phantom Wallet,,,,,
phoenix-wallet,Phoenix Wallet,,,,,
pickle-finance,Pickle Finance,,,,,
pillar-wallet,Pillar Wallet,,,,,
pimlico,Pimlico,,,,,
prokey-optimum,Prokey Optimum,,,,,
propine,Propine,,,,,
puffer-finance,Puffer Finance,,,,,
qredo,Qredo,,,,,
quickswap,QuickSwap,,,,,
rabby-wallet,Rabby Wallet,,,,,
radiant-capital,Radiant Capital,,,,,
rainbow-wallet,Rainbow Wallet,,,,,
raydium,Raydium,,,,,
realt,RealT,,,,,
renzo-protocol,Renzo Protocol,,,,,
revolut,Revolut,,,,,
ribbon-finance,Ribbon Finance,,,,,
robinhood-crypto,Robinhood Crypto,,,,,
rocket-pool,Rocket Pool,,,,,
safe-wallet,Safe Wallet,,,,,
safepal-s1,SafePal S1,,,,,
safepal-x1,SafePal X1,,,,,
safu-ninja,SAFU Ninja,,,,,
samourai-wallet,Samourai Wallet,,,,,
satochip,Satochip,,,,,
secux-v20,SecuX V20,,,,,
secux-w20,SecuX W20,,,,,
seedor,Seedor,,,,,
seedplate,SeedPlate,,,,,
seedsigner,SeedSigner,,,,,
seedxor,SeedXOR,,,,,
sequence-wallet,Sequence Wallet,,,,,
shakepay-card,Shakepay Card,,,,,
simbit,Simbit,,,,,
socket,Socket,,,,,
solayer-emerald,Solayer Emerald,,,,,
solflare,Solflare,,,,,
sommelier,Sommelier,,,,,
spark-protocol,Spark Protocol,,,,,
sparrow-wallet,Sparrow Wallet,,,,,
specter-desktop,Specter Desktop,,,,,
specter-diy,Specter DIY,,,,,
spectrocoin-card,SpectroCoin Card,,,,,
spookyswap,SpookySwap,,,,,
stader-labs,Stader Labs,,,,,
stakewise,StakeWise,,,,,
stargate,Stargate,,,,,
status-keycard,Status Keycard,,,,,
steel-bitcoin,Steel Bitcoin,,,,,
steeldisk,SteelDisk,,,,,
steelwallet,Steelwallet,,,,,
sushiswap,SushiSwap,,,,,
swell-network,Swell Network,,,,,
swipe-card,Swipe Card,,,,,
swissborg,Swissborg,,,,,
sygnum-bank,Sygnum Bank,,,,,
synapse-protocol,Synapse Protocol,,,,,
synthetix,Synthetix,,,,,
tangem-wallet,Tangem Wallet,,,,,
temple-wallet,Temple Wallet,,,,,
thorswap,THORSwap,,,,,
tokemak,Tokemak,,,,,
token-terminal,Token Terminal,,,,,
tokenpocket,TokenPocket,,,,,
trader-joe,Trader Joe,,,,,
trastra-card,Trastra Card,,,,,
trezor-keep-metal,Trezor Keep Metal,,,,,
trezor-keep-solana,Trezor Keep Solana,,,,,
trezor-model-one,Trezor Model One,,,,,
trezor-model-t,Trezor Model T,,,,,
trezor-safe-3,Trezor Safe 3,,,,,
trezor-safe-5,Trezor Safe 5,,,,,
trezor-safe-7,Trezor Safe 7,,,,,
trezor-shamir-backup,Trezor Shamir Backup,,,,,
trust-wallet,Trust Wallet,,,,,
unchained-capital,Unchained Capital,,,,,
uniswap,Uniswap,,,,,
uniswap-wallet,Uniswap Wallet,,,,,
unstoppable-wallet,Unstoppable Wallet,,,,,
upbit,Upbit,,,,,
vault12-guard,Vault12 Guard,,,,,
velodrome,Velodrome,,,,,
venus-protocol,Venus Protocol,,,,,
wasabi-wallet,Wasabi Wallet,,,,,
wirex,Wirex,,,,,
wirex-card,Wirex Card,,,,,
wormhole,Wormhole,,,,,
xapo-bank,Xapo Bank,,,,,
yearn-finance,Yearn Finance,,,,,
youhodler,YouHodler,,,,,
yubikey-5,YubiKey 5,,,,,
zapper,Zapper,,,,,
zengo,ZenGo,,,,,
zerion,Zerion,,,,,
zerodev,ZeroDev,,,,,
zeus-wallet,Zeus Wallet,,,,,
